"RK",TIERS,"PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"222",12,"Marcel Reece",FA,"RB72","138","188","165.3","18.0","-"
"223",12,"David Akers",FA,"K1","148","191","172.4","14.8","-92"
"224",12,"Harry Douglas",FA,"WR82","141","234","179.4","30.3","-"
"225",12,"Stephen Gostkowski",FA,"K2","157","197","173.6","13.5","-84"
"226",12,"LaMichael James",FA,"RB73","147","200","178.2","18.8","0"
"227",12,"Golden Tate",FA,"WR83","167","199","181.4","10.5","+37"
"228",12,"Chad Johnson",FA,"WR84","152","199","179.0","18.9","+20"
"229",12,"Delone Carter",FA,"RB74","156","197","184.5","12.9","+22"
"230",12,"Brandon Stokley",FA,"WR85","127","197","158.7","29.0","-"
"231",13,"Dexter McCluster",FA,"RB75","137","187","162.7","20.4","+36"
"232",13,"Mason Crosby",FA,"K3","165","179","172.3","5.1","-86"
"233",13,"Joseph Addai",FA,"RB76","158","172","163.3","6.2","-"
"234",13,"Leon Washington",FA,"RB77","133","198","163.7","26.7","-"
"235",13,"Lestar Jean",FA,"WR86","156","195","182.3","13.3","+39"
"236",13,"New York Giants",NYG,"DST8","175","200","188.9","7.7","-82"
"237",13,"John Carlson",FA,"TE36","137","161","149.0","12.0","-"
"238",13,"Deion Branch",FA,"WR87","147","188","175.0","16.6","-"
"239",13,"Josh Morgan",FA,"WR88","145","191","175.5","18.6","-"
"240",13,"Andre Roberts",FA,"WR89","166","194","180.6","11.3","+62"
"241",13,"Zach Miller",FA,"TE37","166","198","184.2","13.0","-"
"242",13,"Chris Givens",FA,"WR90","160","177","169.3","7.0","+55"
"243",13,"Benjamin Watson",FA,"TE38","141","200","182.0","22.1","-44"
"244",13,"Brandon Jacobs",FA,"RB78","160","199","182.2","14.7","-11"
"245",13,"Matt Flynn",FA,"QB28","173","203","188.1","8.9","-35"
"246",13,"Donald Jones",FA,"WR91","145","195","178.3","19.8","-"
"247",13,"Knowshon Moreno",FA,"RB79","155","200","178.5","16.3","+21"
"248",13,"Chris Rainey",FA,"RB80","145","189","172.0","19.3","+38"
"249",13,"Javon Ringer",FA,"RB81","152","195","172.0","17.7","+30"
"250",13,"Plaxico Burress",FA,"WR92","145","231","186.8","30.5","-"
"251",13,"New York Jets",NYJ,"DST9","184","199","191.6","5.0","-64"
"252",13,"Mohamed Massaquoi",FA,"WR93","167","176","173.0","4.2","-"
"253",13,"Sebastian Janikowski",FA,"K4","167","200","184.4","12.1","-111"
"254",13,"Seattle Seahawks",SEA,"DST10","169","196","185.2","10.7","-80"
"255",13,"Danny Woodhead",FA,"RB82","172","198","185.8","8.8","+21"
"256",13,"Charles Clay",FA,"TE39","171","200","182.3","11.3","-"
"257",13,"Kevin Ogletree",FA,"WR94","129","199","164.0","35.0","-"
"258",13,"Detroit Lions",DET,"DST11","138","200","186.4","24.3","-98"
"259",13,"Jason Avant",FA,"WR95","164","190","178.0","10.7","-"
"260",13,"Luke Stocker",FA,"TE40","163","171","167.0","4.0","-"
"261",13,"Bernard Pierce",FA,"RB83","176","190","184.3","5.7","-3"
"262",13,"Jordan Cameron",FA,"TE41","173","196","184.5","9.0","-"
"263",13,"Armon Binns",FA,"WR96","146","191","168.5","22.5","-"
"264",13,"Rod Streater",FA,"WR97","142","200","171.0","29.0","-17"
"265",13,"Brandon Jackson",FA,"RB84","144","200","172.0","28.0","-"
"266",13,"Jordan Shipley",FA,"WR98","170","176","173.0","3.0","-"
"267",13,"Johnny Knox",FA,"WR99","159","189","174.0","15.0","-"
"268",13,"Lee Evans",FA,"WR100","162","186","174.0","12.0","-"
"269",13,"Kevin Boss",FA,"TE42","166","182","174.0","8.0","-69"
"270",13,"Rob Housler",FA,"TE43","158","191","174.5","16.5","+31"
"271",13,"Dallas Cowboys",DAL,"DST12","167","196","184.7","12.7","-78"
"272",13,"T.Y. Hilton",FA,"WR101","163","191","177.0","14.0","+18"
"273",13,"Legedu Naanee",FA,"RB85","163","196","179.5","16.5","-"
"274",13,"Ryan Tannehill",TEN,"QB29","168","191","179.5","11.5","-38"
"275",13,"Mike Thomas",FA,"WR102","175","188","181.5","6.5","-"
"276",13,"Chris Cooley",FA,"TE44","173","194","183.5","10.5","-"
"277",13,"Matt Bryant",FA,"K5","175","199","189.3","10.3","-92"
"278",13,"New England Patriots",NE,"DST13","178","200","192.3","8.5","-98"
"279",14,"Devin Hester",FA,"WR103","187","193","189.7","2.5","-18"
"280",14,"Buffalo Bills",BUF,"DST14","185","193","190.3","3.8","-91"
"281",14,"Hines Ward",FA,"WR104","178","195","186.5","8.5","-"
"282",14,"Dan Bailey",FA,"K6","186","197","191.7","4.5","-114"
"283",14,"Mark Sanchez",FA,"QB30","187","211","198.0","7.2","-80"
"284",14,"John Skelton",FA,"QB31","177","200","192.0","10.6","+15"
"285",14,"Tony Scheffler",FA,"TE45","179","198","188.5","9.5","-"
"286",14,"Kevin Walter",FA,"WR105","185","192","188.5","3.5","+3"
"287",14,"LaVon Brazill",FA,"WR106","186","195","190.5","4.5","-"
"288",14,"Garrett Hartley",FA,"K7","187","196","191.5","4.5","-119"
"289",14,"Brandon Weeden",FA,"QB32","191","225","203.0","15.6","-33"
"290",14,"Cincinnati Bengals",CIN,"DST15","190","200","195.3","4.1","-73"
"291",14,"Dion Lewis",FA,"RB86","192","195","193.5","1.5","-14"
"292",14,"Arizona Cardinals",ARI,"DST16","195","198","196.5","1.5","-52"
"293",14,"Jason Hanson",FA,"K8","196","198","197.0","1.0","-91"
"294",14,"Andre Caldwell",FA,"WR107","199","200","199.5","0.5","-"
