1	547	Ray Rice
NO	RB	6	79	374	4.7	1	1	0	0	0	0	0	7.2	43.4
DEN	RB	7	37	179	4.8	0	15	11	101	1	1	1	6.1	43
NO	FB	16	4	4	1	2	14	11	50	2	0	0	2.5	40.4
KC	RB	16	15	51	3.4	1	22	14	82	1	0	0	2.5	39.3
PIT	RB	12	22	157	7.1	0	14	11	104	1	2	2	3.3	39.1
JAX	RB	12	63	130	2.1	0	19	14	120	0	1	0	3.2	39
WAS	FB	13	6	33	5.5	1	19	14	138	0	0	0	2.9	37.1
ARI	RB	12	20	77	3.8	1	24	14	91	0	0	0	3.1	36.8
NYJ	RB	15	43	134	3.1	0	18	13	139	0	3	2	2.4	36.3
WAS	RB	8	59	200	3.4	1	9	6	23	0	1	0	4.3	34.3
LAC	RB	16	28	90	3.2	0	18	12	48	1	2	0	2	31.8
LAC	RB	10	30	101	3.4	1	9	7	41	0	0	0	2.9	29.2
HOU	RB	12	45	154	3.4	2	1	0	0	0	0	0	2.3	27.4
SF	FB	15	4	8	2	0	15	11	83	1	1	0	1.7	26.1
BAL	RB	16	12	35	2.9	0	27	15	69	0	0	0	1.6	25.4
GB	RB	8	18	69	3.8	0	12	10	69	0	0	0	3	23.8
TB	RB	9	15	55	3.7	0	12	10	72	0	0	0	2.5	22.7
SF	RB	16	29	87	3	2	1	1	6	0	0	0	1.4	22.3
ARI	RB	15	30	102	3.4	1	5	3	21	0	0	0	1.4	21.3
SEA	RB	14	4	7	1.8	0	14	9	74	1	1	1	1.5	21.1
DEN	RB	16	14	44	3.1	0	9	9	76	0	1	0	1.3	21
DEN	RB	8	14	77	5.5	0	9	7	62	0	0	0	2.6	20.9
NYG	FB	11	0	0	0	0	16	12	83	0	0	0	1.8	20.3
MIA	RB	16	16	41	2.6	1	7	5	49	0	0	0	1.2	20
ATL	FB	7	2	1	0.5	0	8	4	25	2	0	0	2.7	18.6
KC	RB	2	12	83	6.9	0	6	5	9	1	1	1	9.1	18.2
MIA	RB	6	24	84	3.5	1	4	3	3	0	0	0	3	17.7
PHI	RB	16	42	136	3.2	1	2	0	0	0	1	1	1.1	17.6
DAL	RB	9	22	76	3.5	1	2	2	19	0	0	0	1.9	17.5
MIN	RB	15	13	52	4	0	14	8	82	0	3	2	1.2	17.4
DAL	RB	3	28	98	3.5	0	7	5	13	0	0	0	5.4	16.1
NE	RB	7	17	57	3.4	0	9	7	34	0	0	0	2.3	16.1
TEN	RB	13	17	44	2.6	1	6	4	32	0	1	1	1.2	15.6
ARI	FB	15	1	3	3	0	9	8	72	0	0	0	1	15.5
PHI	RB	15	23	102	4.4	1	1	1	-3	0	1	1	1	14.9
TEN	FB	12	6	24	4	0	14	9	46	0	1	1	1.2	14
PIT	RB	7	16	123	7.7	0	1	1	6	0	0	0	2	13.9
NYJ	FB	16	13	44	3.4	1	5	2	9	0	0	0	0.8	13.3
CHI	FB	16	0	0	0	0	10	8	48	0	1	0	0.8	12.8
JAX	RB	16	2	7	3.5	1	9	4	19	0	0	0	0.8	12.6
LV	RB	10	16	73	4.6	0	3	2	25	0	0	0	1.2	11.8
NE	RB	5	15	57	3.8	1	0	0	0	0	0	0	2.3	11.7
CAR	FB	11	3	12	4	1	3	3	13	0	0	0	1	11.5
TB	FB	16	0	0	0	0	9	6	53	0	0	0	0.7	11.3
LV	RB	15	4	45	11.2	0	6	4	24	0	0	0	0.7	10.9
PIT	RB	2	10	41	4.1	1	0	0	0	0	0	0	5	10.1
IND	FB	14	3	10	3.3	0	7	4	40	0	0	0	0.6	9
CLE	FB	14	4	8	2	0	7	5	31	0	1	0	0.6	8.9
LAR	FB	12	5	14	2.8	0	3	3	41	0	0	0	0.7	8.5
DAL	FB	10	4	4	1	0	5	3	39	0	0	0	0.7	7.3
HOU	FB	14	1	0	0	0	8	4	29	0	0	0	0.5	6.9
PHI	FB	16	4	6	1.5	0	7	3	32	0	0	0	0.4	6.8
JAX	FB	13	10	39	3.9	0	3	2	2	0	0	0	0.5	6.1
TEN	FB	4	0	0	0	0	3	3	30	0	0	0	1.5	6
LV	RB	11	1	12	12	0	4	3	18	0	0	0	0.5	6
JAX	RB	5	9	42	4.7	0	2	1	4	0	0	0	1.1	5.6
DET	RB	4	14	41	2.9	0	2	1	3	0	0	0	1.4	5.4
SF	FB	4	0	0	0	0	0	0	0	0	0	0	1.2	5
CIN	FB	15	0	0	0	0	5	3	19	0	0	0	0.3	4.9
CHI	RB	2	15	48	3.2	0	1	0	0	0	0	0	2.4	4.8
BUF	RB	12	12	38	3.2	0	4	1	-3	0	0	0	0.4	4.5
LAR	RB	9	24	61	2.5	0	1	0	0	0	0	0	0.5	4.1
JAX	RB	13	2	14	7	0	5	2	6	0	0	0	0.3	4
NYJ	RB	2	13	21	1.6	0	1	1	7	0	1	0	1.9	3.8
DAL	RB	2	1	-1	-1	0	3	2	13	0	0	0	1.6	3.2
