DET	RB	8	113	403	3.6	3	15	10	127	1	1	1	10.6	85
DET	RB	16	38	205	5.4	0	42	34	233	1	0	0	5.2	83.8
ARI	RB	13	60	303	5	4	21	12	105	1	0	0	6.4	82.8
LV	RB	16	39	145	3.7	0	43	36	323	0	2	0	5.2	82.8
SEA	RB	10	65	370	5.7	3	11	8	83	1	1	1	7.5	75.3
TB	RB	16	11	17	1.5	2	47	35	286	0	2	1	4.7	75.3
MIN	RB	13	100	462	4.6	1	12	10	82	0	1	1	5.3	68.4
CIN	RB	16	53	170	3.2	0	43	30	234	0	2	1	4.3	68.4
MIA	RB	15	62	168	2.7	1	30	23	204	0	0	0	4.5	68.2
KC	RB	10	41	141	3.4	3	19	15	167	1	1	1	6.8	67.8
ATL	RB	12	78	323	4.1	2	14	10	69	1	0	0	5.6	67.2
TEN	RB	16	54	209	3.9	0	32	25	164	1	1	1	4.1	66.3
DET	RB	16	63	273	4.3	0	31	24	109	0	1	1	3.8	60.2
LAR	RB	14	69	255	3.7	5	6	2	16	0	0	0	4.2	59.1
PIT	RB	13	108	426	3.9	2	4	3	23	0	1	1	4.5	57.9
WAS	RB	5	42	245	5.8	2	9	7	79	1	0	0	11.5	57.4
IND	RB	14	51	307	6	2	11	7	43	0	0	0	3.9	54
MIA	RB	12	74	135	1.8	3	24	14	63	0	0	0	4.3	51.8
JAX	RB	16	35	108	3.1	0	24	14	144	2	0	0	3.2	51.2
NE	RB	15	15	68	4.5	3	11	9	111	1	0	0	3.4	50.9
SF	FB	12	3	7	2.3	0	24	20	239	1	0	0	4.2	50.6
MIN	RB	16	49	273	5.6	3	4	3	17	0	0	0	3.1	50
BAL	RB	16	58	225	3.9	2	15	8	70	0	0	0	3.1	49.5
NYG	RB	10	29	110	3.8	2	15	11	102	1	1	1	4.8	48.2
SF	RB	10	27	105	3.9	4	5	3	34	1	0	0	4.7	46.9
DET	RB	6	89	377	4.2	1	4	1	5	0	1	1	7.2	43.2
MIA	RB	7	53	201	3.8	0	21	15	89	0	1	1	6	42
IND	RB	9	49	235	4.8	1	5	5	59	0	0	0	4.5	40.4
MIN	RB	16	23	115	5	0	21	15	88	1	1	1	2.5	39.3
CLE	RB	14	13	49	3.8	2	15	12	92	0	2	0	2.7	38.1
MIN	FB	16	7	17	2.4	0	26	17	149	1	1	1	2.4	37.6
ATL	RB	7	22	106	4.8	1	14	11	87	0	0	0	5.2	36.3
NYJ	RB	13	59	229	3.9	0	12	7	33	0	0	0	2.6	33.2
NYJ	RB	16	32	103	3.2	0	17	13	90	0	0	0	2	32.3
KC	RB	12	37	128	3.5	1	10	9	43	0	0	0	2.7	32.1
MIA	RB	7	36	133	3.7	1	12	7	51	0	0	0	4.5	31.4
LAC	RB	7	29	200	6.9	0	11	9	22	0	0	0	4.5	31.2
ATL	RB	8	22	50	2.3	4	2	1	7	0	1	0	3.8	30.7
BUF	RB	6	17	63	3.7	0	15	13	124	0	1	1	5	29.7
CAR	RB	13	16	116	7.2	1	9	6	57	0	0	0	2.3	29.3
SEA	RB	9	23	72	3.1	1	12	10	76	0	1	1	3.2	28.8
SEA	RB	16	18	114	6.3	0	13	11	56	0	0	0	1.8	28
WAS	RB	15	22	81	3.7	0	13	9	64	0	0	0	1.6	23.5
LAR	RB	13	39	147	3.8	0	6	4	37	0	0	0	1.7	22.4
PIT	RB	11	22	92	4.2	0	7	6	48	0	0	0	1.8	20
BAL	FB	16	0	0	0	0	11	8	47	1	0	0	1.2	18.7
LV	FB	16	10	17	1.7	0	6	6	44	1	0	0	1.1	18.1
PHI	RB	6	17	66	3.9	0	10	6	24	0	1	0	2.8	17
GB	FB	15	1	3	3	0	12	7	97	0	0	0	1.1	17
DET	RB	1	10	21	2.1	2	2	2	1	0	0	0	16.2	16.2
DEN	FB	7	1	1	1	1	5	5	42	0	0	0	2.2	15.3
CLE	RB	16	4	21	5.2	0	7	6	71	0	0	0	1	15.2
PIT	RB	6	24	122	5.1	0	1	1	9	0	0	0	2.4	14.1
LAC	FB	16	7	10	1.4	1	5	3	32	0	0	0	0.8	13.2
DEN	RB	16	2	9	4.5	0	9	6	57	0	0	0	0.8	12.6
KC	RB	3	17	51	3	0	7	5	22	0	1	0	4.1	12.3
CAR	RB	12	13	27	2.1	0	8	7	22	0	0	0	1	11.9
NO	FB	12	7	20	2.9	0	10	6	36	0	0	0	1	11.6
NYG	RB	10	10	36	3.6	1	2	1	9	0	0	0	1.2	11.5
DET	RB	3	18	48	2.7	0	4	4	18	0	0	0	3.5	10.6
SEA	FB	14	0	0	0	0	2	2	23	1	0	0	0.7	10.3
BUF	FB	16	3	7	2.3	0	7	5	41	0	0	0	0.6	9.8
CAR	FB	16	6	11	1.8	1	2	2	6	0	0	0	0.6	9.7
SEA	RB	1	12	34	2.8	1	0	0	0	0	0	0	9.4	9.4
LAC	RB	14	10	20	2	0	3	2	14	1	1	1	0.7	9.4
TEN	RB	6	0	0	0	0	5	4	54	0	0	0	1.6	9.4
ATL	RB	14	4	28	7	0	8	6	22	0	4	1	0.7	9.12
NYG	RB	3	30	91	3	0	4	3	1	0	2	2	2.7	8.2
JAX	RB	10	9	27	3	0	5	3	23	0	0	0	0.8	8
NO	RB	15	8	60	7.5	0	1	1	6	0	0	0	0.5	7.6
NYG	RB	16	15	39	2.6	0	4	2	9	0	0	0	0.4	6.8
HOU	RB	11	9	40	4.4	0	1	1	9	0	0	0	0.5	5.9
DET	FB	10	0	0	0	0	6	4	17	0	0	0	0.6	5.7
KC	FB	16	4	9	2.2	0	3	2	22	0	0	0	0.3	5.1
DET	RB	4	12	29	2.4	0	1	1	9	0	0	0	1.2	4.8
DET	RB	2	16	43	2.7	0	0	0	0	0	0	0	2.2	4.3
TB	RB	12	3	10	3.3	0	3	2	13	0	0	0	0.4	4.3
GB	RB	8	1	10	10	0	4	2	11	0	2	0	0.5	4.1
MIA	RB	5	3	-2	-0.7	0	3	2	19	0	0	0	0.7	3.7
ATL	FB	16	5	8	1.6	0	4	1	13	0	0	0	0.2	3.1
PHI	RB	3	10	30	3	0	1	0	0	0	0	0	1	3
TEN	RB	2	11	26	2.4	0	1	0	0	0	0	0	1.3	2.6
PIT	FB	3	0	0	0	0	3	2	4	0	0	0	0.8	2.4
NO	FB	1	0	0	0	0	1	1	8	0	0	0	1.8	1.8
MIA	RB	7	5	16	3.2	0	0	0	0	0	0	0	0.2	1.6
NE	FB	2	0	0	0	0	2	1	5	0	0	0	0.8	1.5
BUF	RB	11	3	3	1	0	1	1	1	0	0	0	0.1	1.4
NYJ	RB	3	8	12	1.5	0	0	0	0	0	0	0	0.4	1.2
NE	RB	3	4	12	3	0	0	0	0	0	0	0	0.4	1.2
GB	RB	4	5	11	2.2	0	0	0	0	0	0	0	0.3	1.1
HOU	RB	16	5	10	2	0	0	0	0	0	0	0	0.1	1
CAR	RB	9	4	9	2.2	0	0	0	0	0	0	0	0.1	0.9
WAS	RB	2	3	9	3	0	0	0	0	0	0	0	0.4	0.9
LAR	RB	4	3	9	3	0	0	0	0	0	0	0	0.2	0.9
CHI	RB	8	2	8	4	0	0	0	0	0	0	0	0.1	0.8
PIT	RB	3	8	7	0.9	0	0	0	0	0	0	0	0.2	0.7
MIA	RB	8	4	6	1.5	0	0	0	0	0	0	0	0.1	0.6
ARI	RB	1	1	4	4	0	0	0	0	0	0	0	0.4	0.4
NE	FB	2	2	3	1.5	0	0	0	0	0	0	0	0.2	0.3
DAL	FB	16	0	0	0	0	2	0	0	0	0	0	0	0
SEA	RB	1	0	0	0	0	0	0	0	0	0	0	0	0
WAS	FB	10	0	0	0	0	1	0	0	0	0	0	0	0
LV	RB	6	0	0	0	0	0	0	0	0	0	0	0	0
JAX	RB	1	0	0	0	0	0	0	0	0	0	0	0	0
NYJ	RB	4	0	0	0	0	0	0	0	0	0	0	0	0
TEN	RB	2	0	0	0	0	0	0	0	0	0	0	0	0
ARI	RB	1	0	0	0	0	0	0	0	0	0	0	0	0
HOU	FB	16	0	0	0	0	0	0	0	0	0	0	0	0
WAS	RB	2	0	0	0	0	0	0	0	0	0	0	0	0
NYG	RB	1	0	0	0	0	0	0	0	0	0	0	0	0
CIN	RB	11	0	0	0	0	0	0	0	0	0	0	0	0
MIA	FB	13	0	0	0	0	0	0	0	0	0	0	0	0
PHI	RB	4	0	0	0	0	0	0	0	0	2	2	-1	-4
