NYJ	RB	7	80	343	4.3	0	18	11	110	1	2	1	8.6	60.3
IND	RB	16	60	336	5.6	1	17	16	85	0	2	2	3.8	60.1
DET	RB	8	55	265	4.8	3	10	7	56	0	0	0	7.1	57.1
BAL	RB	6	60	333	5.6	2	7	6	51	0	2	1	9.1	54.4
NE	RB	8	57	186	3.3	0	20	14	131	1	2	1	6.2	49.7
NYJ	RB	16	38	113	3	1	25	17	144	0	0	0	3	48.7
NYG	RB	15	51	176	3.5	1	22	14	89	0	2	1	3	44.5
SF	RB	6	66	266	4	0	15	12	98	0	3	2	7.4	44.4
PHI	RB	4	45	184	4.1	3	6	5	20	0	1	1	10.8	43.4
NE	FB	16	6	8	1.3	4	18	12	61	0	0	0	2.7	42.9
LAR	RB	12	43	212	4.9	0	7	5	52	1	0	0	3.3	39.4
SF	RB	9	34	261	7.7	1	7	6	25	0	1	1	4.3	38.6
BUF	RB	11	52	250	4.8	0	19	11	26	0	1	0	3.5	38.6
MIA	RB	12	36	191	5.3	1	11	9	56	0	1	1	3.1	37.7
DAL	RB	16	44	127	2.9	1	12	9	60	0	0	0	2.1	33.7
MIA	RB	16	8	91	11.4	2	3	3	13	1	1	1	1.8	29.4
DEN	FB	16	2	5	2.5	0	10	8	112	1	0	0	1.6	25.7
KC	FB	16	1	2	2	0	9	8	96	1	0	0	1.5	23.8
NO	FB	16	9	41	4.6	0	10	5	14	2	0	0	1.4	22.5
TB	RB	9	23	44	1.9	1	9	7	33	0	0	0	2.3	20.7
MIN	FB	15	6	8	1.3	0	15	11	85	0	0	0	1.4	20.3
JAX	RB	5	13	40	3.1	0	12	9	67	0	0	0	3.9	19.7
CLE	RB	11	0	0	0	0	10	9	105	0	0	0	1.6	17.5
CAR	RB	9	19	69	3.6	1	4	3	15	0	0	0	1.9	17.4
KC	RB	4	13	44	3.4	0	3	3	27	1	0	0	4	16.1
ATL	RB	9	20	157	7.8	0	2	1	9	0	1	1	1.7	15.6
NYG	RB	12	7	25	3.6	0	9	8	50	0	0	0	1.3	15.5
NO	RB	6	27	154	5.7	0	0	0	0	0	0	0	2.6	15.4
CAR	FB	16	9	15	1.7	2	1	1	5	0	0	0	0.9	15
PIT	RB	10	29	80	2.8	1	4	3	18	0	2	2	1.5	14.8
