HOU	RB	8	20	109	5.4	0	4	3	29	0	2	0	2.1	16.8
TB	RB	3	10	47	4.7	0	9	6	77	0	2	1	5.5	16.4
TB	FB	14	0	0	0	0	10	6	38	1	0	0	1.1	15.8
ARI	RB	4	25	95	3.8	1	1	0	0	0	0	0	3.9	15.5
WAS	RB	9	8	82	10.2	1	1	1	-2	0	0	0	1.7	15
SF	RB	8	19	50	2.6	1	5	3	25	0	1	1	1.8	14.5
SEA	FB	4	2	0	0	0	5	5	72	0	0	0	3.6	14.2
KC	RB	3	12	40	3.3	1	3	2	14	0	0	0	4.5	13.4
DAL	RB	3	24	87	3.6	0	5	3	17	0	0	0	4.5	13.4
BUF	FB	15	8	13	1.6	0	9	6	57	0	0	0	0.9	13
LAC	FB	16	2	4	2	0	4	4	83	0	0	0	0.8	12.7
BUF	RB	11	27	94	3.5	1	2	1	0	0	2	2	1.1	12.4
PIT	RB	16	14	58	4.1	0	3	3	33	0	0	0	0.8	12.1
LAC	RB	6	3	2	0.7	0	11	7	36	0	0	0	1.8	10.8
PHI	RB	3	19	64	3.4	0	5	3	10	0	0	0	3.5	10.4
PHI	RB	1	9	28	3.1	1	1	1	5	0	0	0	10.3	10.3
KC	RB	11	18	28	1.6	0	7	5	25	0	0	0	0.9	10.3
LAR	RB	16	18	39	2.2	0	3	3	46	0	1	1	0.6	9.5
CLE	RB	16	7	34	4.9	1	0	0	0	0	1	0	0.6	9.4
MIN	RB	3	37	72	1.9	0	6	3	8	0	1	1	3	9
LAC	RB	1	18	87	4.8	0	2	0	0	0	0	0	8.7	8.7
DEN	RB	8	8	26	3.2	1	1	0	0	0	0	0	1.1	8.6
TB	RB	4	4	19	4.8	0	4	4	22	0	0	0	2	8.1
BAL	RB	8	9	34	3.8	0	4	3	15	0	0	0	1	7.9
CLE	FB	7	1	2	2	0	7	5	44	0	1	1	1.1	7.6
LV	RB	13	1	-8	-8	0	4	4	43	0	1	0	0.6	7.5
NYJ	RB	4	10	27	2.7	0	2	2	20	0	0	0	1.7	6.7
CLE	FB	9	0	0	0	0	5	4	27	0	0	0	0.7	6.7
NO	RB	7	11	32	2.9	0	4	2	11	0	0	0	0.9	6.3
IND	RB	16	9	59	6.6	0	1	0	0	0	0	0	0.4	5.9
SEA	RB	4	12	44	3.7	0	2	1	5	0	0	0	1.5	5.9
DAL	FB	16	2	5	2.5	0	3	3	20	0	0	0	0.3	5.5
KC	FB	16	0	0	0	0	6	4	11	0	0	0	0.3	5.1
NE	FB	16	0	0	0	0	6	3	18	0	0	0	0.3	4.8
BAL	RB	3	1	0	0	0	3	3	10	0	0	0	1.3	4
NE	RB	14	1	4	4	0	4	2	15	0	0	0	0.3	3.9
MIA	RB	3	8	22	2.8	0	1	1	6	0	0	0	1.3	3.8
SEA	RB	1	1	2	2	0	2	2	16	0	0	0	3.8	3.8
