PHI	RB	16	80	374	4.7	1	36	25	212	1	2	0	6	95.6
ATL	RB	16	100	465	4.6	1	30	25	199	0	2	1	6	95.4
LAC	RB	11	91	303	3.3	3	37	29	166	0	1	0	8.5	93.9
NE	RB	10	137	691	5	2	7	5	52	0	1	0	9.1	91.3
CAR	RB	3	59	225	3.8	5	19	17	149	1	0	0	30.1	90.4
MIN	RB	13	96	434	4.5	2	15	13	125	1	0	0	6.7	86.9
LV	RB	16	93	423	4.5	3	21	17	84	0	1	0	5.4	85.7
SEA	RB	10	81	356	4.4	4	20	16	93	0	1	0	8.5	84.9
HOU	RB	11	77	235	3.1	1	35	28	249	1	3	2	7.7	84.4
SF	FB	16	17	64	3.8	2	30	19	202	4	1	0	5.1	81.6
LAC	RB	14	111	354	3.2	2	23	23	148	0	2	2	5.8	81.2
NE	RB	9	79	449	5.7	1	9	7	114	1	0	0	8.4	75.3
PIT	RB	16	111	368	3.3	4	14	10	61	0	2	1	4.7	74.9
KC	RB	11	82	328	4	2	20	16	138	0	1	0	6.8	74.6
DET	RB	16	52	181	3.5	2	26	19	187	1	1	1	4.5	71.8
MIA	RB	6	75	319	4.3	3	14	11	61	0	0	0	11.5	69
DEN	RB	11	118	502	4.3	1	14	7	28	0	0	0	6	66
CIN	RB	16	63	301	4.8	3	12	11	66	0	0	0	4.1	65.7
LAC	RB	9	59	270	4.6	0	24	19	173	0	0	0	7.3	65.3
CHI	RB	16	64	232	3.6	1	25	21	132	0	0	0	4	63.4
NYJ	RB	13	54	254	4.7	1	21	16	99	1	0	0	4.9	63.3
IND	RB	15	84	308	3.7	1	16	12	105	0	0	0	4.1	61.3
ATL	RB	14	63	268	4.3	1	26	17	75	0	1	0	4.1	57.3
NYG	RB	16	29	115	4	2	30	19	127	1	3	2	3.6	57.2
SEA	RB	12	34	108	3.2	2	20	17	111	1	0	0	4.7	56.9
WAS	RB	16	94	258	2.7	4	7	4	12	0	0	0	3.4	55
KC	RB	13	39	169	4.3	1	26	18	116	0	0	0	4.2	54.5
BAL	RB	11	72	299	4.2	2	8	6	50	0	0	0	4.8	52.9
NYJ	RB	10	64	232	3.6	2	15	11	63	0	0	0	5.2	52.5
LV	RB	13	22	123	5.6	1	23	19	138	0	1	0	3.9	51.1
TEN	RB	16	47	204	4.3	1	17	12	55	0	0	0	2.7	43.9
JAX	RB	8	7	20	2.9	0	23	20	146	1	0	0	5.3	42.6
MIA	RB	12	59	254	4.3	0	10	9	96	0	2	1	3.5	42
NYG	RB	9	55	238	4.3	1	4	3	19	1	0	0	4.5	40.7
GB	RB	11	46	242	5.3	2	2	2	21	0	0	0	3.7	40.3
DEN	RB	16	35	170	4.9	0	13	12	81	0	0	0	2.3	37.1
NYJ	RB	8	29	157	5.4	2	8	6	29	0	0	0	4.6	36.6
CAR	RB	7	41	156	3.8	1	11	9	59	0	1	0	5.2	36.5
NYG	RB	5	54	172	3.2	1	10	7	58	0	0	0	7.2	36
KC	RB	14	27	97	3.6	1	11	7	65	1	2	1	2.4	33.2
SEA	RB	9	25	88	3.5	0	10	9	90	1	0	0	3.6	32.8
SF	RB	8	39	148	3.8	1	8	7	33	0	1	0	3.9	31.1
PHI	RB	7	35	60	1.7	4	1	1	-3	0	1	0	4.4	30.7
MIN	RB	16	8	42	5.2	0	9	8	58	2	0	0	1.9	30
JAX	RB	14	32	145	4.5	0	20	10	54	0	0	0	2.1	29.9
LV	FB	16	3	4	1.3	0	17	12	110	1	0	0	1.8	29.4
TB	RB	10	10	31	3.1	0	19	15	101	0	0	0	2.8	28.2
GB	RB	8	13	67	5.2	0	15	11	84	0	0	0	3.3	26.1
MIN	FB	15	5	18	3.6	0	13	8	97	1	0	0	1.7	25.5
MIA	RB	9	3	5	1.7	0	13	9	92	1	1	0	2.7	24.7
TB	RB	10	26	109	4.2	0	10	5	34	1	1	1	2.3	23.3
PIT	RB	11	33	113	3.4	0	10	6	54	0	0	0	2.1	22.7
MIA	RB	16	13	72	5.5	0	12	10	68	0	1	1	1.4	22
CIN	RB	10	26	157	6	0	5	5	30	0	1	1	2.2	21.7
BUF	RB	1	12	63	5.2	2	1	1	20	0	0	0	21.3	21.3
SEA	RB	3	18	77	4.3	2	2	1	4	0	0	0	7	21.1
CLE	RB	16	33	166	5	0	4	3	14	0	1	0	1.3	21
PHI	RB	15	21	75	3.6	1	6	5	25	0	0	0	1.4	21
CHI	RB	16	3	0	0	0	9	8	67	1	0	0	1.3	20.7
LAC	FB	16	2	7	3.5	0	7	5	25	2	0	0	1.3	20.2
LAC	RB	6	15	76	5.1	0	10	8	42	0	0	0	3.3	19.8
ATL	FB	16	4	7	1.8	0	15	11	59	0	0	0	1.1	17.6
CHI	RB	3	14	74	5.3	0	9	6	41	0	0	0	5.8	17.5
NE	FB	16	0	0	0	0	9	8	35	1	1	0	1.1	17.5
BAL	FB	15	1	-1	-1	0	12	9	45	1	1	1	1.2	17.4
MIA	RB	4	31	91	2.9	0	10	5	30	0	0	0	4.3	17.1
