LAR	RB	10	5	11	2.2	0	0	0	0	0	0	0	0.1	1.1
TEN	FB	11	3	6	2	0	2	2	4	0	1	1	0.1	1
DEN	RB	12	3	7	2.3	0	0	0	0	0	0	0	0.1	0.7
LAR	RB	10	2	5	2.5	0	0	0	0	0	0	0	0	0.5
JAX	RB	4	1	3	3	0	0	0	0	0	0	0	0.1	0.3
BUF	RB	17	0	0	0	0	0	0	0	0	0	0	0	0
TEN	RB	5	0	0	0	0	0	0	0	0	0	0	0	0
NYJ	RB	1	0	0	0	0	0	0	0	0	0	0	0	0
NYG	FB	15	0	0	0	0	0	0	0	0	0	0	0	0
TEN	FB	8	0	0	0	0	0	0	0	0	0	0	0	0
SF	RB	1	0	0	0	0	0	0	0	0	0	0	0	0
DAL	FB	4	0	0	0	0	0	0	0	0	0	0	0	0
CHI	RB	1	0	0	0	0	0	0	0	0	0	0	0	0
CAR	RB	1	0	0	0	0	0	0	0	0	0	0	0	0
SF	RB	3	0	0	0	0	0	0	0	0	0	0	0	0
ARI	RB	3	0	0	0	0	0	0	0	0	0	0	0	0
MIN	FB	1	0	0	0	0	0	0	0	0	0	0	0	0
LV	FB	8	0	0	0	0	0	0	0	0	0	0	0	0
LAC	RB	2	0	0	0	0	1	0	0	0	0	0	0	0
SEA	RB	3	0	0	0	0	0	0	0	0	0	0	0	0
HOU	FB	1	0	0	0	0	0	0	0	0	0	0	0	0
TB	RB	3	4	0	0	0	0	0	0	0	0	0	0	0
PIT	RB	2	0	0	0	0	0	0	0	0	0	0	0	0
MIA	RB	1	0	0	0	0	0	0	0	0	0	0	0	0
BAL	RB	1	1	-1	-1	0	0	0	0	0	0	0	-0.1	-0.1
SF	RB	12	3	4	1.3	0	0	0	0	0	1	1	-0.1	-1.6
