SEA	RB	10	34	175	5.1	0	2	1	12	0	1	0	2	19.7
LV	FB	16	2	0	0	0	6	5	18	2	0	0	1.2	18.8
NYG	RB	11	9	23	2.6	1	6	5	48	0	0	0	1.6	18.1
NE	RB	16	28	89	3.2	1	6	2	8	0	0	0	1.1	17.7
DET	FB	16	8	19	2.4	0	6	5	39	1	0	0	1	16.8
NO	FB	10	3	4	1.3	0	10	9	27	1	1	1	1.6	16.1
WAS	RB	2	3	12	4	0	7	6	27	1	0	0	8	15.9
CAR	RB	6	32	77	2.4	0	8	5	31	0	0	0	2.6	15.8
LAC	RB	10	20	63	3.2	0	8	5	44	0	0	0	1.6	15.7
JAX	FB	16	0	0	0	0	8	7	81	0	0	0	0.9	15.1
TEN	FB	16	5	9	1.8	1	5	5	28	0	0	0	0.9	14.7
ARI	RB	2	16	51	3.2	1	3	2	8	0	0	0	7	13.9
BUF	FB	10	6	17	2.8	1	8	5	9	0	0	0	1.4	13.6
NYJ	FB	12	6	20	3.3	0	3	2	35	1	0	0	1.1	13.5
PIT	RB	12	10	40	4	0	10	7	23	0	0	0	1.1	13.3
LAC	RB	3	15	38	2.5	0	6	5	34	0	0	0	4.1	12.2
NO	FB	7	8	22	2.8	0	2	2	15	1	0	0	1.7	11.7
MIN	RB	1	21	75	3.6	0	3	2	18	0	0	0	11.3	11.3
NE	RB	3	9	38	4.2	0	5	5	23	0	0	0	3.7	11.1
NYG	RB	7	14	50	3.6	1	1	0	0	0	0	0	1.6	11
SEA	FB	5	0	0	0	0	2	2	29	1	0	0	2.2	10.9
NE	FB	16	3	5	1.7	0	8	6	43	0	1	0	0.7	10.8
PIT	FB	16	2	0	0	0	10	6	41	0	0	0	0.6	10.1
CIN	RB	16	15	43	2.9	0	5	3	27	0	1	0	0.6	10
KC	RB	9	8	31	3.9	1	0	0	0	0	0	0	1	9.1
MIN	FB	16	4	27	6.8	1	2	0	0	0	0	0	0.5	8.7
GB	RB	13	16	64	4	0	2	1	11	0	0	0	0.7	8.5
LAR	RB	14	7	30	4.3	0	4	3	18	0	0	0	0.6	7.8
DAL	FB	10	0	0	0	0	0	0	0	0	0	0	0.8	7.5
DET	RB	12	19	73	3.8	0	3	0	0	0	0	0	0.6	7.3
TB	FB	9	3	58	19.3	0	1	1	3	0	0	0	0.8	7.1
BAL	RB	4	6	12	2	0	6	3	27	0	0	0	1.7	6.9
NYG	RB	4	4	33	8.2	0	3	2	9	0	0	0	1.6	6.2
SF	RB	6	7	19	2.7	0	4	3	11	0	0	0	1	6
NYJ	FB	4	1	3	3	0	2	2	30	0	0	0	1.3	5.3
CLE	FB	12	2	2	1	0	9	3	15	0	0	0	0.4	4.7
TB	RB	11	19	37	1.9	0	1	1	-5	0	0	0	0.4	4.2
HOU	FB	16	0	0	0	0	4	1	24	0	0	0	0.2	3.4
TEN	RB	4	0	0	0	0	2	2	11	0	0	0	0.8	3.1
NO	RB	1	0	0	0	0	1	1	15	0	0	0	2.5	2.5
DEN	RB	6	6	22	3.7	0	0	0	0	0	0	0	0.4	2.2
CLE	RB	10	10	19	1.9	0	0	0	0	0	0	0	0.2	1.9
PIT	RB	4	9	16	1.8	0	0	0	0	0	0	0	0.4	1.6
SEA	FB	9	1	2	2	0	2	1	4	0	0	0	0.2	1.6
NYG	FB	16	7	13	1.9	0	0	0	0	0	0	0	0.1	1.3
DAL	FB	16	0	0	0	0	1	1	1	0	0	0	0.1	1.1
MIA	RB	3	5	9	1.8	0	1	0	0	0	0	0	0.3	0.9
CHI	RB	16	0	0	0	0	1	1	-1	0	0	0	0.1	0.9
