NO	RB	6	40	217	5.4	2	3	2	15	0	0	0	6.2	37.2
WAS	FB	16	14	60	4.3	0	9	8	109	2	0	0	2.3	36.9
CLE	RB	13	65	271	4.2	1	5	2	16	0	2	0	2.8	36.7
PIT	FB	16	2	7	3.5	0	26	15	137	1	0	0	2.2	35.4
IND	RB	10	32	122	3.8	3	2	1	13	0	1	0	3.2	32.5
GB	RB	4	34	157	4.6	2	2	2	17	0	0	0	7.8	31.4
LAC	RB	10	39	115	2.9	0	15	12	77	0	1	0	3.1	31.2
NO	FB	15	0	0	0	0	16	14	70	2	1	1	2.1	31
BUF	RB	12	47	193	4.1	1	9	4	9	0	0	0	2.5	30.2
TB	RB	16	11	51	4.6	0	20	14	100	0	0	0	1.8	29.1
TB	RB	13	41	151	3.7	2	2	1	2	0	0	0	2.2	28.3
CIN	RB	15	33	106	3.2	0	15	11	67	0	0	0	1.9	28.3
GB	RB	5	32	132	4.1	2	2	1	34	0	1	1	5.5	27.6
JAX	RB	11	40	143	3.6	0	9	7	60	0	0	0	2.5	27.3
TB	FB	16	0	0	0	0	19	12	83	1	0	0	1.6	26.3
DAL	FB	16	3	11	3.7	0	15	13	104	0	0	0	1.5	24.5
LV	RB	4	25	101	4	0	8	8	62	0	0	0	6.1	24.3
NYG	FB	16	5	20	4	0	15	11	50	1	0	0	1.5	24
ARI	RB	5	58	164	2.8	0	10	7	44	0	2	2	4.8	23.8
TEN	RB	10	19	30	1.6	3	1	1	8	0	0	0	2.3	22.8
SF	FB	16	5	18	3.6	0	13	12	84	0	0	0	1.4	22.2
CHI	RB	15	27	124	4.6	1	3	2	16	0	0	0	1.5	22
DEN	RB	3	17	81	4.8	2	1	1	7	0	0	0	7.3	21.8
SF	RB	16	21	78	3.7	2	0	0	0	0	0	0	1.2	19.8
IND	RB	9	13	20	1.5	0	8	6	77	1	1	1	2.2	19.7
PHI	FB	15	6	22	3.7	1	12	7	43	0	0	0	1.3	19.5
SEA	RB	16	23	83	3.6	1	8	4	31	0	2	1	1.2	19.4
NYJ	RB	15	30	179	6	0	2	1	18	0	3	1	1.2	18.7
SF	RB	4	27	125	4.6	0	5	3	29	0	1	0	4.6	18.4
JAX	RB	14	5	8	1.6	0	14	11	64	0	0	0	1.3	18.2
PIT	RB	12	25	49	2	1	5	4	31	0	0	0	1.5	18
PHI	RB	9	13	69	5.3	1	2	2	24	0	0	0	1.9	17.3
DAL	RB	12	21	75	3.6	0	12	6	33	0	1	0	1.4	16.8
BAL	RB	16	16	61	3.8	1	4	2	12	0	0	0	1	15.3
LAC	RB	16	14	42	3	0	10	8	29	0	0	0	0.9	15.1
JAX	RB	5	17	74	4.4	0	4	3	41	0	0	0	2.9	14.5
DAL	RB	14	25	61	2.4	0	5	4	41	0	0	0	1	14.2
TEN	RB	16	16	33	2.1	0	9	5	35	0	1	0	0.7	11.8
WAS	RB	3	2	2	1	0	7	7	45	0	0	0	3.9	11.7
