WAS	TE	17	25	20	80	249	1	32	10	12.4	0	0	0	0	1	0	3	50.9
CHI	TE	15	23	14	60.9	167	3	28	7.3	11.9	0	0	0	0	0	0	3.4	50.7
GB	TE	8	29	18	62.1	204	2	33	7	11.3	0	0	0	0	0	0	6.3	50.4
JAX	TE	7	34	24	70.6	244	0	30	7.2	10.2	0	0	0	0	0	0	7.2	50.4
SEA	TE	15	26	21	80.8	231	1	39	8.9	11	0	0	0	0	1	0	3.3	50.1
TEN	TE	16	18	14	77.8	145	3	22	8.1	10.4	0	0	0	0	0	0	3	48.5
GB	TE	17	28	23	82.1	214	0	23	7.6	9.3	0	0	0	0	1	0	2.6	44.4
HOU	TE	13	33	24	72.7	214	0	31	6.5	8.9	1	3	3	0	2	2	3.2	41.7
ARI	TE	5	17	16	94.1	193	1	34	11.4	12.1	0	0	0	0	0	0	8.3	41.3
NYJ	TE	9	25	16	64	173	1	26	6.9	10.8	0	0	0	0	0	0	4.4	39.3
LAC	TE	17	19	16	84.2	165	1	34	8.7	10.3	0	0	0	0	0	0	2.3	38.5
HOU	TE	15	34	23	67.6	171	0	29	5	7.4	0	0	0	0	1	1	2.5	38.1
CAR	TE	17	30	18	60	188	0	41	6.3	10.4	0	0	0	0	0	0	2.2	36.8
DET	TE	10	17	12	70.6	117	2	36	6.9	9.8	0	0	0	0	0	0	3.6	35.7
PIT	TE	17	25	19	76	167	0	25	6.7	8.8	0	0	0	0	0	0	2.1	35.7
TB	TE	17	21	14	66.7	135	1	21	6.4	9.6	0	0	0	0	0	0	2	33.5
DAL	TE	8	18	11	61.1	96	2	20	5.3	8.7	0	0	0	0	0	0	4.1	32.6
PIT	TE	8	18	12	66.7	84	1	19	4.7	7	1	1	1	1	0	0	4.1	32.5
NO	TE	7	15	9	60	133	1	30	8.9	14.8	0	0	0	0	0	0	4	28.3
MIA	TE	12	16	12	75	110	0	21	6.9	9.2	0	0	0	0	0	0	1.9	23
KC	TE	6	5	5	100	47	2	27	9.4	9.4	0	0	0	0	0	0	3.6	21.7
IND	TE	17	15	11	73.3	106	0	27	7.1	9.6	0	0	0	0	0	0	1.3	21.6
ATL	TE	16	11	9	81.8	65	1	22	5.9	7.2	0	0	0	0	0	0	1.3	21.5
JAX	TE	7	14	9	64.3	55	1	11	3.9	6.1	0	0	0	0	0	0	2.9	20.5
BUF	TE	13	12	9	75	44	1	13	3.7	4.9	0	0	0	0	1	0	1.5	19.4
CHI	TE	14	8	7	87.5	62	1	19	7.8	8.9	0	0	0	0	0	0	1.4	19.2
JAX	TE	17	9	6	66.7	71	1	22	7.9	11.8	0	0	0	0	0	0	1.1	19.1
CIN	TE	17	15	11	73.3	81	0	19	5.4	7.4	0	0	0	0	0	0	1.1	19.1
DEN	TE	17	12	8	66.7	47	1	11	3.9	5.9	0	0	0	0	0	0	1.1	18.7
KC	TE	16	13	9	69.2	87	0	24	6.7	9.7	4	10	2.5	0	0	0	1.2	18.7
KC	TE	16	10	7	70	36	1	8	3.6	5.1	0	0	0	0	0	0	1	16.6
CHI	TE	7	3	2	66.7	21	2	19	7	10.5	0	0	0	0	0	0	2.3	16.1
HOU	TE	16	5	5	100	47	1	15	9.4	9.4	0	0	0	0	0	0	1	15.7
BAL	TE	14	15	9	60	66	0	19	4.4	7.3	0	0	0	0	1	0	1.1	15.6
SF	TE	17	5	4	80	51	1	21	10.2	12.8	0	0	0	0	0	0	0.9	15.1
MIN	TE	16	7	4	57.1	40	1	17	5.7	10	0	0	0	0	0	0	0.9	14
DAL	TE	9	6	4	66.7	27	1	12	4.5	6.8	0	0	0	0	0	0	1.4	12.7
JAX	TE	15	11	7	63.6	56	0	21	5.1	8	0	0	0	0	1	0	0.8	12.6
PHI	TE	9	7	3	42.9	22	1	13	3.1	7.3	0	0	0	0	0	0	1.2	11.2
LAC	TE	11	8	6	75	45	0	12	5.6	7.5	0	0	0	0	0	0	1	10.5
SF	TE	17	6	5	83.3	52	0	27	8.7	10.4	0	0	0	0	0	0	0.6	10.2
ATL	TE	8	6	5	83.3	43	0	17	7.2	8.6	0	0	0	0	0	0	1.2	9.3
TB	TE	9	5	4	80	43	0	24	8.6	10.8	0	0	0	0	0	0	0.9	8.3
SEA	TE	14	8	5	62.5	33	0	12	4.1	6.6	0	0	0	0	0	0	0.6	8.3
NO	TE	13	4	4	100	39	0	14	9.8	9.8	0	0	0	0	1	0	0.6	7.9
LAR	TE	11	7	4	57.1	37	0	23	5.3	9.2	0	0	0	0	1	0	0.7	7.7
GB	TE	13	5	4	80	35	0	22	7	8.8	0	0	0	0	0	0	0.6	7.5
NYJ	TE	12	5	3	60	35	0	19	7	11.7	0	0	0	0	0	0	0.5	6.5
DET	TE	4	7	3	42.9	34	0	16	4.9	11.3	0	0	0	0	0	0	1.6	6.4
NYG	TE	9	3	3	100	33	0	21	11	11	0	0	0	0	0	0	0.7	6.3
PHI	TE	16	5	4	80	22	0	9	4.4	5.5	0	0	0	0	0	0	0.4	6.2
DAL	TE	17	3	3	100	31	0	11	10.3	10.3	0	0	0	0	0	0	0.4	6.1
TEN	TE	5	6	3	50	31	0	14	5.2	10.3	0	0	0	0	0	0	1.2	6.1
NYJ	TE	9	3	2	66.7	36	0	24	12	18	0	0	0	0	0	0	0.6	5.6
GB	TE	10	4	2	50	34	0	26	8.5	17	0	0	0	0	0	0	0.5	5.4
NYJ	TE	12	2	2	100	29	0	24	14.5	14.5	0	0	0	0	0	0	0.4	4.9
CIN	TE	15	5	3	60	16	0	8	3.2	5.3	0	0	0	0	0	0	0.3	4.6
ARI	TE	14	6	3	50	10	0	7	1.7	3.3	0	0	0	0	0	0	0.3	4
MIA	TE	16	2	2	100	16	0	8	8	8	0	0	0	0	0	0	0.2	3.6
LV	TE	5	2	2	100	13	0	9	6.5	6.5	0	0	0	0	0	0	0.7	3.3
MIN	TE	12	2	2	100	12	0	7	6	6	0	0	0	0	0	0	0.3	3.2
PHI	TE	3	2	2	100	11	0	9	5.5	5.5	0	0	0	0	0	0	1	3.1
PIT	TE	6	3	2	66.7	8	0	7	2.7	4	0	0	0	0	0	0	0.5	2.8
NO	TE	2	2	2	100	8	0	4	4	4	0	0	0	0	0	0	1.4	2.8
LAR	TE	6	1	1	100	9	0	9	9	9	0	0	0	0	0	0	0.3	1.9
LAR	TE	5	1	1	100	9	0	9	9	9	0	0	0	0	0	0	0.4	1.9
MIA	TE	7	3	1	33.3	8	0	8	2.7	8	0	0	0	0	0	0	0.3	1.8
BAL	TE	17	2	1	50	7	0	7	3.5	7	0	0	0	0	0	0	0.1	1.7
BAL	TE	5	2	1	50	2	0	2	1	2	0	0	0	0	0	0	0.2	1.2
ARI	TE	15	4	1	25	0	0	0	0	0	0	0	0	0	0	0	0.1	1
TB	TE	3	1	1	100	0	0	0	0	0	0	0	0	0	0	0	0.3	1
LV	TE	9	2	1	50	-1	0	0	-0.5	-1	0	0	0	0	0	0	0.1	0.9
SEA	TE	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WAS	TE	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAR	TE	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAR	TE	16	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIN	TE	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIN	TE	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NE	TE	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DEN	TE	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CHI	TE	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LV	TE	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CLE	TE	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TB	TE	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WAS	TE	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SF	TE	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DET	TE	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PHI	TE	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LV	TE	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SF	TE	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JAX	TE	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CLE	TE	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARI	TE	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CLE	TE	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NE	TE	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WAS	TE	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CIN	TE	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DAL	TE	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DET	TE	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BAL	TE	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAR	TE	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TEN	TE	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KC	TE	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LAC	TE	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATL	TE	9	0	0	0	0	0	0	0	0	3	6	2	0	0	0	-0.2	-1.4
