NYG	TE	15	21	18	85.7	112	0	16	5.3	6.2	0	0	0	0	1	0	1.9	29.2
DEN	TE	4	15	11	73.3	121	1	27	8.1	11	0	0	0	0	0	0	7.3	29.1
PIT	TE	14	20	15	75	99	0	15	5	6.6	0	0	0	0	0	0	1.8	24.9
ARI	TE	9	10	8	80	102	1	42	10.2	12.8	0	0	0	0	0	0	2.7	24.2
TEN	TE	10	12	9	75	83	1	16	6.9	9.2	0	0	0	0	0	0	2.3	23.3
ARI	TE	12	11	8	72.7	92	1	31	8.4	11.5	0	0	0	0	0	0	1.9	23.2
CIN	TE	2	11	8	72.7	87	1	23	7.9	10.9	0	0	0	0	0	0	11.4	22.7
DAL	TE	16	15	11	73.3	110	0	24	7.3	10	1	2	2	0	0	0	1.4	22.2
DEN	TE	8	15	8	53.3	80	1	29	5.3	10	0	0	0	0	0	0	2.8	22
TEN	TE	11	8	5	62.5	49	2	22	6.1	9.8	0	0	0	0	0	0	2	21.9
BUF	TE	10	6	4	66.7	35	2	27	5.8	8.8	0	0	0	0	0	0	2	19.5
LAC	TE	16	11	8	72.7	106	0	23	9.6	13.2	0	0	0	0	0	0	1.2	18.6
NO	TE	14	10	8	80	46	1	16	4.6	5.8	0	0	0	0	1	0	1.3	18.6
NYJ	TE	15	12	9	75	86	0	23	7.2	9.6	0	0	0	0	0	0	1.2	17.6
LAC	TE	6	6	3	50	50	1	26	8.3	16.7	0	0	0	0	0	0	2.3	14
ATL	TE	16	11	7	63.6	63	0	25	5.7	9	0	0	0	0	0	0	0.8	13.3
NE	TE	9	7	2	28.6	39	1	26	5.6	19.5	0	0	0	0	0	0	1.3	11.9
CHI	TE	15	14	7	50	45	0	9	3.2	6.4	0	0	0	0	0	0	0.8	11.5
CAR	TE	16	8	6	75	52	0	17	6.5	8.7	0	0	0	0	0	0	0.7	11.2
GB	TE	5	2	2	100	26	1	13	13	13	0	0	0	0	0	0	2.1	10.6
KC	TE	14	11	7	63.6	36	0	12	3.3	5.1	0	0	0	0	0	0	0.8	10.6
CIN	TE	15	7	5	71.4	53	0	24	7.6	10.6	0	0	0	0	0	0	0.7	10.3
KC	TE	16	9	6	66.7	63	0	22	7	10.5	0	0	0	0	1	1	0.6	10.3
NYG	TE	16	6	5	83.3	46	0	14	7.7	9.2	0	0	0	0	0	0	0.6	9.6
LAR	TE	16	4	4	100	53	0	34	13.2	13.2	0	0	0	0	0	0	0.6	9.3
NO	TE	7	10	4	40	39	0	19	3.9	9.8	0	0	0	0	0	0	1.1	7.9
CAR	TE	15	2	1	50	7	1	7	3.5	7	0	0	0	0	0	0	0.5	7.7
NE	TE	6	2	1	50	3	1	3	1.5	3	0	0	0	0	0	0	1.2	7.3
PHI	TE	4	1	1	100	3	1	3	3	3	0	0	0	0	0	0	1.8	7.3
