"RK",TIERS,"PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"338",14,"Jaelen Strong",FA,"WR121","108","301","204.5","96.5","-"
"339",14,"Trent Taylor",CIN,"WR122","213","278","241.0","27.3","-"
"340",14,"Brian Hoyer",LV,"QB37","207","304","241.3","44.4","-"
"341",14,"Paxton Lynch",FA,"QB38","242","295","260.0","20.9","-78"
"342",14,"Isaiah Ford",FA,"WR123","206","283","242.7","31.5","-"
"343",14,"Pharoh Cooper",FA,"WR124","198","296","243.0","40.4","-"
"344",14,"T.J. Logan",FA,"RB105","212","291","245.0","33.5","-"
"345",14,"Atlanta Falcons",ATL,"DST21","197","300","245.7","42.2","-"
"346",14,"Gary Barnidge",FA,"TE46","183","245","214.0","31.0","-"
"347",14,"Rico Gathers",FA,"TE47","218","262","247.0","20.5","-100"
"348",14,"Adam Humphries",FA,"WR125","209","222","215.5","6.5","-"
"349",14,"Jeremy Kerley",FA,"WR126","211","298","248.0","36.7","-"
"350",14,"Benny Cunningham Jr.",FA,"RB106","207","230","218.5","11.5","-"
"351",14,"Sebastian Janikowski",FA,"K13","214","223","218.5","4.5","-"
"352",14,"Malachi Dupre",FA,"WR127","240","267","250.0","12.1","-"
"353",14,"Trey Burton",FA,"TE48","213","229","221.0","8.0","-"
"354",14,"Blair Walsh",FA,"K14","219","224","221.5","2.5","-"
"355",15,"Josh Malone",FA,"WR128","211","263","237.0","26.0","-"
"356",15,"Josh McCown",FA,"QB39","219","257","238.0","19.0","-"
"357",15,"Josh Brown",FA,"K15","237","242","239.5","2.5","-"
"358",15,"Clive Walford",FA,"TE49","214","270","242.0","28.0","-"
"359",15,"Shaun Draughn",FA,"RB107","233","252","242.5","9.5","-"
"360",15,"Detroit Lions",DET,"DST22","248","298","266.0","22.7","-"
"361",15,"Los Angeles Chargers",LAC,"DST23","178","309","243.5","65.5","-"
"362",15,"Rashad Jennings",FA,"RB108","226","261","243.5","17.5","-"
"363",15,"Dan Carpenter",FA,"K16","241","246","243.5","2.5","-"
"364",15,"Brandon LaFell",FA,"WR129","218","314","267.3","39.2","-"
"365",15,"Peyton Barber",FA,"RB109","207","293","250.0","43.0","-"
"366",15,"New Orleans Saints",NO,"DST24","195","307","251.0","56.0","-"
"367",15,"Jehu Chesson",FA,"WR130","231","276","253.5","22.5","-"
"368",15,"Markus Wheaton",FA,"WR131","254","316","275.7","28.6","-"
"369",15,"Andre Ellington",FA,"RB110","256","269","262.5","6.5","-"
"370",15,"Brandon Coleman",FA,"WR132","236","290","263.0","27.0","-"
"371",15,"Chicago Bears",CHI,"DST25","228","302","265.0","37.0","-"
"372",15,"Tampa Bay Buccaneers",TB,"DST26","228","311","269.5","41.5","-"
"373",15,"Jay Cutler",FA,"QB40","239","303","271.0","32.0","-"
"374",15,"Justin Hardy",FA,"WR133","248","311","279.5","31.5","-"
