CAR	WR	16	82	55	67.1	788	2	82	9.6	14.3	13	172	13.2	0	4	3	9.8	157
HOU	WR	15	89	59	66.3	677	5	45	7.6	11.5	0	0	0	0	0	0	10.4	156.7
LV	WR	15	88	63	71.6	739	3	66	8.4	11.7	1	-2	-2	0	1	0	10.4	156.7
NYJ	WR	14	93	50	53.8	752	6	76	8.1	15	2	-8	-4	0	2	2	11.2	156.4
CHI	WR	13	94	55	58.5	754	4	43	8	13.7	1	9	9	0	1	1	11.8	153.3
CHI	WR	16	93	67	72	688	2	54	7.4	10.3	9	61	6.8	0	1	1	9.5	151.9
TB	WR	12	74	41	55.4	774	4	75	10.5	18.9	6	29	4.8	1	0	0	12.6	151.3
DAL	WR	16	86	65	75.6	672	3	32	7.8	10.3	0	0	0	0	0	0	9.4	150.2
CIN	WR	9	77	46	59.7	694	6	38	9	15.1	0	0	0	0	2	1	16.6	149.4
BAL	WR	16	97	42	43.3	715	5	71	7.4	17	3	4	1.3	0	0	0	9	143.9
SEA	WR	13	73	50	68.5	618	5	42	8.5	12.4	0	0	0	0	0	0	10.9	141.8
NE	WR	12	71	41	57.7	737	4	55	10.4	18	0	0	0	0	0	0	11.6	138.7
LAC	WR	16	65	41	63.1	653	5	75	10	15.9	2	15	7.5	0	2	0	8.6	137.8
CAR	WR	13	65	39	60	494	5	53	7.6	12.7	8	84	10.5	2	1	1	10.5	136.8
DEN	WR	16	84	42	50	704	4	42	8.4	16.8	1	-1	-1	0	0	0	8.5	136.3
LAR	WR	8	56	40	71.4	566	6	70	10.1	14.2	4	25	6.2	0	0	0	16.9	135.1
MIA	WR	15	64	37	57.8	553	6	75	8.6	14.9	0	0	0	0	1	0	9	134.42
BAL	WR	16	95	62	65.3	651	1	28	6.9	10.5	1	13	13	0	0	0	8.4	134.4
BAL	WR	16	100	54	54	607	3	27	6.1	11.2	0	0	0	0	0	0	8.3	132.7
CLE	WR	16	78	43	55.1	586	5	71	7.5	13.6	2	7	3.5	0	1	1	8.3	132.3
JAX	WR	16	89	48	53.9	668	3	80	7.5	13.9	0	0	0	0	1	1	8.2	130.8
MIA	WR	15	79	59	74.7	575	1	39	7.3	9.7	1	-2	-2	0	2	0	8.5	127.42
ARI	WR	12	68	43	63.2	590	3	75	8.7	13.7	3	35	11.7	0	0	0	10.3	123.5
CAR	WR	14	79	44	55.7	549	4	27	6.9	12.5	0	0	0	0	0	0	8.8	122.9
CHI	WR	15	54	33	61.1	423	7	55	7.8	12.8	6	26	4.3	0	1	0	8	120.22
CLE	WR	13	54	39	72.2	572	4	40	10.6	14.7	0	0	0	0	2	1	9.1	118.2
IND	WR	16	72	53	73.6	485	2	34	6.7	9.2	1	-4	-4	0	1	0	7.3	117.1
DET	WR	9	62	35	56.5	508	5	39	8.2	14.5	0	0	0	0	0	0	12.9	115.8
KC	WR	10	55	40	72.7	519	3	50	9.4	13	5	52	10.4	0	1	0	11.5	115.1
SF	WR	16	66	42	63.6	487	4	33	7.4	11.6	0	0	0	0	1	0	7.2	114.7
GB	WR	16	72	38	52.8	581	2	60	8.1	15.3	2	29	14.5	0	0	0	6.9	111
WAS	WR	15	79	44	55.7	532	2	32	6.7	12.1	0	0	0	0	0	0	7.3	109.2
LV	WR	15	65	45	69.2	494	2	44	7.6	11	3	5	1.7	0	0	0	7.1	106.9
HOU	WR	7	45	32	71.1	503	4	73	11.2	15.7	0	0	0	0	0	0	15.2	106.3
NE	WR	16	55	35	63.6	532	3	63	9.7	15.2	0	0	0	0	0	0	6.6	106.2
SF	WR	12	45	27	60	467	5	75	10.4	17.3	1	-2	-2	0	2	0	8.6	103.5
