TB	WR	16	51	35	68.6	387	6	46	7.6	11.1	0	0	0	0	0	0	6.9	109.7
TB	WR	16	64	40	62.5	554	3	51	8.7	13.8	1	-3	-3	0	8	3	6.7	107.1
HOU	WR	15	59	39	66.1	474	3	41	8	12.2	0	0	0	0	0	0	7	104.4
TEN	WR	16	77	47	61	470	1	32	6.1	10	0	0	0	0	1	0	6.2	100
CHI	WR	15	63	37	58.7	507	2	25	8	13.7	0	0	0	0	0	0	6.6	99.7
MIN	WR	11	55	38	69.1	466	3	72	8.5	12.3	0	0	0	0	2	2	9	98.6
CAR	WR	15	76	44	57.9	467	1	28	6.1	10.6	0	0	0	0	0	0	6.5	97.78
MIA	WR	16	66	35	53	549	1	41	8.3	15.7	1	9	9	0	0	0	6	96.8
HOU	WR	16	65	31	47.7	512	2	80	7.9	16.5	4	17	4.2	0	0	0	6	95.9
NO	WR	16	50	32	64	503	2	79	10.1	15.7	1	9	9	0	0	0	6	95.2
ATL	WR	16	62	39	62.9	498	1	49	8	12.8	1	3	3	0	0	0	5.9	95.1
HOU	WR	7	51	33	64.7	492	2	50	9.6	14.9	1	8	8	0	0	0	13.6	95
SEA	WR	9	57	32	56.1	484	2	52	8.5	15.1	2	3	1.5	0	1	0	10.5	94.9
PIT	WR	15	63	46	73	381	2	31	6	8.3	0	0	0	0	1	1	6.3	94.1
SEA	WR	16	61	37	60.7	436	2	55	7.1	11.8	1	13	13	0	0	0	5.9	93.9
SEA	WR	16	58	35	60.3	382	3	33	6.6	10.9	5	14	2.8	0	1	0	5.8	92.6
JAX	WR	15	91	44	48.4	415	1	47	4.6	9.4	3	11	3.7	0	1	0	6.2	92.6
TB	WR	14	51	30	58.8	441	3	65	8.6	14.7	6	-7	-1.2	0	0	0	6.5	91.4
LAR	WR	15	71	36	50.7	431	1	34	6.1	12	2	16	8	0	0	0	5.8	86.7
CIN	WR	13	68	37	54.4	317	3	49	4.7	8.6	0	0	0	0	0	0	6.7	86.7
CLE	WR	14	74	31	41.9	384	2	56	5.2	12.4	0	0	0	0	0	0	5.8	81.4
LAR	WR	10	60	26	43.3	431	2	68	7.2	16.6	0	0	0	0	0	0	8.1	81.1
JAX	WR	10	55	25	45.5	367	3	74	6.7	14.7	0	0	0	0	0	0	8	79.7
MIN	WR	16	84	26	31	468	1	60	5.6	18	0	0	0	0	1	0	4.9	78.8
CHI	WR	16	54	27	50	276	3	22	5.1	10.2	1	-4	-4	0	0	0	4.5	72.2
NYJ	WR	14	47	29	61.7	314	1	38	6.7	10.8	5	28	5.6	0	3	1	4.9	68.84
CHI	WR	16	56	26	46.4	369	1	53	6.6	14.2	1	-6	-6	0	5	0	4.3	68.3
CHI	WR	11	43	24	55.8	381	1	49	8.9	15.9	0	0	0	0	1	1	6	66.1
SF	WR	13	31	20	64.5	241	3	56	7.8	12	2	32	16	0	0	0	5	65.3
BUF	WR	15	42	23	54.8	240	1	36	5.7	10.4	21	81	3.9	1	0	0	4.3	65.1
WAS	WR	11	38	22	57.9	309	2	51	8.1	14	2	1	0.5	0	0	0	5.9	65
LAC	WR	14	40	19	47.5	329	2	31	8.2	17.3	0	0	0	0	0	0	4.6	63.9
PIT	WR	11	43	22	51.2	288	2	32	6.7	13.1	0	0	0	0	0	0	5.8	63.4
JAX	WR	14	50	29	58	292	1	25	5.8	10.1	0	0	0	0	1	1	4.4	62.2
LV	WR	15	34	23	67.6	271	2	30	8	11.8	0	0	0	0	0	0	4.1	62.1
GB	WR	15	30	24	80	369	1	61	12.3	15.4	3	11	3.7	0	3	3	4.1	62
TEN	WR	3	26	17	65.4	289	3	80	11.1	17	0	0	0	0	1	1	20.6	61.9
CLE	WR	14	34	23	67.6	268	1	51	7.9	11.7	0	0	0	0	1	0	4	55.8
BUF	WR	10	42	24	57.1	252	1	29	6	10.5	0	0	0	0	0	0	5.5	55.2
LV	WR	8	33	19	57.6	279	1	41	8.5	14.7	4	31	7.8	0	3	1	6.8	54
LAC	WR	14	34	23	67.6	248	1	26	7.3	10.8	0	0	0	0	2	0	3.8	53.8
PHI	WR	16	35	16	45.7	315	1	58	9	19.7	0	0	0	0	0	0	3.3	53.5
KC	WR	11	52	21	40.4	254	1	39	4.9	12.1	0	0	0	0	0	0	4.8	52.4
BUF	WR	8	46	23	50	231	1	48	5	10	1	2	2	0	0	0	6.5	52.3
LAR	WR	6	38	27	71.1	264	0	21	6.9	9.8	1	8	8	0	3	1	8.7	52.2
LV	WR	11	33	15	45.5	241	0	47	7.3	16.1	6	69	11.5	1	0	0	4.7	52
PIT	WR	13	30	16	53.3	237	2	36	7.9	14.8	1	3	3	0	0	0	4	52
LAR	WR	12	48	27	56.2	256	0	35	5.3	9.5	1	-6	-6	0	2	0	4.3	52
CIN	WR	13	34	23	67.6	263	0	26	7.7	11.4	5	25	5	0	0	0	4	51.8
DEN	WR	16	36	18	50	267	1	42	7.4	14.8	0	0	0	0	1	0	3.2	50.7
MIN	WR	11	5	1	20	9	0	9	1.8	9	22	154	7	2	1	1	4.6	50.34
NE	WR	15	32	15	46.9	276	1	53	8.6	18.4	0	0	0	0	0	0	3.2	48.6
SF	WR	14	33	19	57.6	220	0	26	6.7	11.6	8	68	8.5	0	0	0	3.4	47.8
BUF	WR	10	26	16	61.5	257	1	60	9.9	16.1	0	0	0	0	0	0	4.8	47.7
SEA	WR	12	38	18	47.4	236	1	55	6.2	13.1	0	0	0	0	0	0	4	47.6
DEN	WR	12	49	19	38.8	155	1	26	3.2	8.2	7	48	6.9	0	0	0	3.8	45.3
SF	WR	5	20	15	75	220	1	30	11	14.7	0	0	0	0	0	0	8.6	43
JAX	WR	12	27	13	48.1	163	2	23	6	12.5	0	0	0	0	0	0	3.4	41.3
HOU	WR	12	35	19	54.3	170	0	30	4.9	8.9	0	0	0	0	0	0	3	36
SF	WR	9	34	15	44.1	181	0	24	5.3	12.1	0	0	0	0	0	0	3.7	33.1
LV	WR	9	19	11	57.9	146	1	40	7.7	13.3	0	0	0	0	0	0	3.5	31.6
WAS	WR	4	19	13	68.4	163	0	23	8.6	12.5	0	0	0	0	0	0	7.8	31.3
WAS	WR	14	27	7	25.9	103	2	50	3.8	14.7	2	19	9.5	0	0	0	2.2	31.2
DAL	WR	14	26	15	57.7	164	0	33	6.3	10.9	2	3	1.5	0	1	1	2.1	29.7
PHI	WR	9	20	11	55	124	1	20	6.2	11.3	0	0	0	0	1	0	3.3	29.4
JAX	WR	6	33	12	36.4	150	0	33	4.5	12.5	0	0	0	0	0	0	4.5	27
DAL	WR	16	7	7	100	169	0	77	24.1	24.1	0	0	0	0	0	0	1.5	23.9
WAS	WR	13	26	12	46.2	137	0	32	5.3	11.4	0	0	0	0	1	1	1.8	23.7
NYJ	WR	15	15	8	53.3	96	1	25	6.4	12	0	0	0	0	0	0	1.6	23.6
HOU	WR	16	13	6	46.2	90	1	40	6.9	15	1	1	1	0	0	0	1.3	21.1
MIN	WR	13	24	9	37.5	121	0	23	5	13.4	0	0	0	0	0	0	1.6	21.1
