LAR	WR	13	69	40	58	418	4	81	6.1	10.4	9	151	16.8	1	4	1	9.6	124.9
CAR	WR	16	68	36	52.9	556	5	47	8.2	15.4	4	29	7.2	0	0	0	7.8	124.5
BUF	WR	14	85	40	47.1	587	3	57	6.9	14.7	2	16	8	0	0	0	8.6	120.3
NYJ	WR	12	72	43	59.7	523	3	26	7.3	12.2	4	11	2.8	0	0	0	9.5	114.4
NE	WR	12	72	37	51.4	519	4	81	7.2	14	0	0	0	0	1	0	9.4	112.9
JAX	WR	15	87	51	58.6	484	1	51	5.6	9.5	2	4	2	0	0	0	7.4	110.64
KC	WR	16	71	40	56.3	596	2	51	8.4	14.9	2	6	3	0	1	1	6.9	110.2
ATL	WR	5	59	41	69.5	580	2	81	9.8	14.1	1	7	7	0	2	1	21.9	109.7
GB	WR	6	47	31	66	433	4	48	9.2	14	4	78	19.5	0	0	0	17.7	106.1
CIN	WR	16	77	47	61	455	2	32	5.9	9.7	4	16	4	0	1	1	6.6	105.1
IND	WR	7	58	38	65.5	503	2	35	8.7	13.2	1	5	5	0	0	0	14.7	102.8
NE	WR	12	69	32	46.4	466	4	49	6.8	14.6	0	0	0	0	0	0	8.6	102.6
ARI	WR	16	76	43	56.6	471	2	34	6.2	11	0	0	0	0	0	0	6.4	102.1
LAR	WR	16	63	38	60.3	399	4	31	6.3	10.5	0	0	0	0	1	0	6.4	101.9
CLE	WR	16	99	41	41.4	465	2	47	4.7	11.3	0	0	0	0	0	0	6.2	99.5
MIA	WR	16	67	41	61.2	448	2	29	6.7	10.9	0	0	0	0	0	0	6.1	97.8
WAS	WR	16	79	42	53.2	452	2	28	5.7	10.8	3	25	8.3	0	2	2	6.1	97.7
DET	WR	16	85	38	44.7	490	2	40	5.8	12.9	0	0	0	0	1	1	6.1	97
BAL	WR	12	67	37	55.2	455	2	66	6.8	12.3	2	0	0	0	0	0	7.9	94.5
LAC	WR	16	69	41	59.4	472	1	51	6.8	11.5	0	0	0	0	0	0	5.9	94.2
NO	WR	13	54	37	68.5	457	2	44	8.5	12.4	0	0	0	0	1	1	7.1	92.7
PHI	WR	16	76	38	50	447	2	31	5.9	11.8	0	0	0	0	1	1	5.8	92.7
TB	WR	12	46	24	52.2	440	4	85	9.6	18.3	0	0	0	0	0	0	7.7	92
NYJ	WR	12	60	36	60	423	2	31	7	11.8	0	0	0	0	0	0	7.5	90.3
DET	WR	9	55	39	70.9	461	1	47	8.4	11.8	2	-8	-4	0	1	0	10	90.3
CLE	WR	14	86	42	48.8	362	2	20	4.2	8.6	0	0	0	0	1	1	6.4	90.2
LAR	WR	16	83	34	41	569	0	47	6.9	16.7	3	8	2.7	0	1	1	5.6	89.7
DAL	WR	14	54	39	72.2	368	2	23	6.8	9.4	0	0	0	0	1	0	6.3	87.8
