DET	WR	17	119	90	75.6	912	5	37	7.7	10.1	7	61	8.7	1	0	0	13.4	227.3
BAL	WR	16	145	91	62.8	1008	6	49	7	11.1	1	5	5	0	3	1	14.1	226.3
CHI	WR	17	140	81	57.9	1055	4	64	7.5	13	6	32	5.3	1	0	0	12.9	219.7
CIN	WR	14	110	74	67.3	1091	6	54	9.9	14.7	0	0	0	0	1	1	15.6	219.1
WAS	WR	17	130	77	59.2	1053	5	46	8.1	13.7	1	12	12	0	0	0	12.6	213.5
ARI	WR	17	103	77	74.8	982	5	50	9.5	12.8	1	11	11	0	0	0	12.2	207.62
DAL	WR	15	103	68	66	865	8	41	8.4	12.7	0	0	0	0	1	0	13.5	202.5
MIN	WR	13	95	67	70.5	726	10	35	7.6	10.8	1	2	2	0	1	0	15.4	199.8
NE	WR	17	126	83	65.9	866	2	39	6.9	10.4	1	9	9	0	1	1	11	186.3
PHI	WR	17	104	64	61.5	916	5	46	8.8	14.3	0	0	0	0	1	1	10.9	185.6
CIN	WR	16	94	67	71.3	828	5	68	8.8	12.4	2	22	11	0	1	0	11.5	183.84
TEN	WR	13	105	63	60	869	5	57	8.3	13.8	2	10	5	0	0	0	13.9	180.9
NE	WR	17	70	55	78.6	800	5	75	11.4	14.5	12	125	10.4	0	1	1	10.6	180.5
JAX	WR	17	120	73	60.8	832	4	33	6.9	11.4	0	0	0	0	0	0	10.6	180.2
SF	WR	17	84	56	66.7	826	5	43	9.8	14.8	5	17	3.4	0	2	1	10	170.3
LAR	WR	17	89	50	56.2	802	6	79	9	16	2	20	10	0	0	0	9.9	168.2
PIT	WR	15	105	59	56.2	860	2	59	8.2	14.6	14	96	6.9	0	0	0	11.1	166.6
ATL	WR	14	94	66	70.2	770	4	49	8.2	11.7	0	0	0	0	2	2	11.6	163
BUF	WR	16	112	82	73.2	693	1	29	6.2	8.5	0	0	0	0	1	0	10	159.3
MIN	WR	17	82	50	61	655	7	64	8	13.1	1	10	10	0	0	0	9.3	158.5
ARI	WR	16	92	54	58.7	848	3	42	9.2	15.7	0	0	0	0	0	0	9.8	156.8
DEN	WR	16	85	53	62.4	734	5	44	8.6	13.8	0	0	0	0	0	0	9.8	156.4
NO	WR	17	84	46	54.8	698	6	58	8.3	15.2	0	0	0	0	0	0	8.9	151.8
DEN	WR	17	98	58	59.2	776	2	55	7.9	13.4	0	0	0	0	0	0	8.8	150.24
DAL	WR	16	61	45	73.8	602	6	73	9.9	13.4	2	11	5.5	0	3	0	9.2	147.82
ARI	WR	10	64	42	65.6	572	8	55	8.9	13.6	0	0	0	0	0	0	14.7	147.2
GB	WR	15	60	40	66.7	513	8	42	8.6	12.8	3	32	10.7	0	0	0	9.5	142.5
KC	WR	17	83	59	71.1	693	2	53	8.3	11.7	8	46	5.8	0	3	2	8.3	140.9
CAR	WR	17	110	53	48.2	519	5	57	4.7	9.8	3	36	12	0	0	0	8.1	138.5
NYJ	WR	11	77	43	55.8	538	5	62	7	12.5	5	54	10.8	1	0	0	12.6	138.2
LAR	WR	9	69	45	65.2	556	4	28	8.1	12.4	8	46	5.8	1	0	0	15.2	137.2
CLE	WR	12	87	52	59.8	570	2	38	6.6	11	6	40	6.7	2	3	2	11.1	133
DET	WR	16	71	48	67.6	576	4	75	8.1	12	4	28	7	0	0	0	8.3	132.4
BUF	WR	14	72	42	58.3	626	4	41	8.7	14.9	2	31	15.5	0	0	0	9.4	131.7
LAR	WR	14	82	44	53.7	537	5	54	6.5	12.2	2	14	7	0	0	0	9.2	129.1
JAX	WR	16	99	63	63.6	619	0	58	6.3	9.8	11	41	3.7	0	1	1	7.9	127
KC	WR	17	60	42	70	568	5	40	9.5	13.5	0	0	0	0	2	1	7.5	126.8
