NYJ	WR	13	78	51	65.4	483	1	45	6.2	9.5	33	202	6.1	1	3	1	10	129.5
PHI	WR	16	94	55	58.5	577	3	50	6.1	10.5	0	0	0	0	1	1	8	128.7
ATL	WR	12	74	51	68.9	556	2	41	7.5	10.9	0	0	0	0	0	0	10	120.6
MIN	WR	16	62	42	67.7	588	2	87	9.5	14	5	71	14.2	0	0	0	7.5	119.9
JAX	WR	13	110	53	48.2	557	1	53	5.1	10.5	0	0	0	0	1	1	9.1	117.98
JAX	WR	10	81	48	59.3	548	2	54	6.8	11.4	0	0	0	0	0	0	11.7	116.8
TEN	WR	16	72	40	55.6	647	2	80	9	16.2	0	0	0	0	0	0	7.3	116.7
CLE	WR	12	72	47	65.3	568	2	31	7.9	12.1	0	0	0	0	0	0	9.6	115.8
CAR	WR	15	78	48	61.5	580	1	47	7.4	12.1	0	0	0	0	0	0	7.6	114
ATL	WR	16	59	38	64.4	504	2	46	8.5	13.3	6	36	6	1	2	1	6.8	108
DEN	WR	14	64	49	76.6	464	2	39	7.2	9.5	0	0	0	0	0	0	7.7	107.4
CLE	WR	16	73	37	50.7	629	1	70	8.6	17	3	2	0.7	0	0	0	6.6	106.1
BUF	WR	16	61	41	67.2	426	4	31	7	10.4	0	0	0	0	2	2	6.5	103.6
IND	WR	16	68	38	55.9	405	4	29	6	10.7	0	0	0	0	0	0	6.4	102.5
GB	WR	16	66	38	57.6	446	3	45	6.8	11.7	0	0	0	0	0	0	6.3	100.6
SEA	WR	15	69	38	55.1	537	1	60	7.8	14.1	2	15	7.5	0	0	0	6.7	99.88
DAL	WR	16	49	37	75.5	420	4	45	8.6	11.4	0	0	0	0	2	2	6.2	99
MIA	WR	16	63	39	61.9	474	2	35	7.5	12.2	0	0	0	0	1	0	6.2	98.4
SF	WR	13	50	35	70	435	3	32	8.7	12.4	0	0	0	0	0	0	7.4	96.5
IND	WR	16	49	32	65.3	444	3	79	9.1	13.9	4	17	4.2	0	0	0	6	96.1
TEN	WR	12	67	28	41.8	498	3	75	7.4	17.8	0	0	0	0	0	0	8	95.8
NYJ	WR	16	75	38	50.7	409	1	33	5.5	10.8	4	86	21.5	0	1	0	5.8	93.5
MIN	WR	16	67	33	49.3	384	1	28	5.7	11.6	10	117	11.7	1	1	1	5.8	93.1
MIN	WR	12	59	31	52.5	475	2	56	8.1	15.3	1	-11	-11	0	1	0	7.6	91.4
WAS	WR	16	73	36	49.3	453	2	61	6.2	12.6	2	21	10.5	0	4	2	5.7	91.4
LAR	WR	15	44	31	70.5	242	0	28	5.5	7.8	36	224	6.2	2	5	0	6	89.6
NYG	WR	16	56	36	64.3	418	2	42	7.5	11.6	0	0	0	0	2	1	5.5	87.8
JAX	WR	13	68	37	54.4	422	1	37	6.2	11.4	3	9	3	0	0	0	6.6	86.1
TB	WR	11	56	31	55.4	380	2	54	6.8	12.3	0	0	0	0	1	0	7.4	81
LAR	WR	14	46	30	65.2	435	1	38	9.5	14.5	1	13	13	0	0	0	5.8	80.8
LAR	WR	7	39	25	64.1	375	3	51	9.6	15	0	0	0	0	0	0	11.5	80.5
KC	WR	16	62	34	54.8	353	1	41	5.7	10.4	1	1	1	0	0	0	4.7	75.4
HOU	WR	16	49	31	63.3	331	1	44	6.8	10.7	5	19	3.8	0	2	0	4.5	72
CAR	WR	13	36	21	58.3	296	2	47	8.2	14.1	8	95	11.9	0	3	1	5.4	70.1
BAL	WR	16	33	24	72.7	267	3	24	8.1	11.1	0	0	0	0	0	0	4.3	68.7
CLE	WR	16	46	18	39.1	314	3	43	6.8	17.4	3	11	3.7	0	2	0	4.3	68.5
MIA	WR	14	51	29	56.9	295	1	40	5.8	10.2	0	0	0	0	2	0	4.6	64.5
NYG	WR	6	41	23	56.1	337	1	61	8.2	14.7	0	0	0	0	0	0	10.4	62.7
SEA	WR	15	44	29	65.9	271	1	32	6.2	9.3	0	0	0	0	1	0	4.1	62.1
LV	WR	15	35	21	60	280	2	55	8	13.3	0	0	0	0	0	0	4.1	61
DET	WR	16	35	24	68.6	314	1	59	9	13.1	2	-1	-0.5	0	4	2	3.6	57.3
ARI	WR	15	32	22	68.8	229	2	26	7.2	10.4	0	0	0	0	1	0	3.8	56.9
KC	WR	12	31	23	74.2	156	0	30	5	6.8	15	110	7.3	1	0	0	4.6	55.6
CLE	WR	5	47	24	51.1	303	0	32	6.4	12.6	0	0	0	0	0	0	10.9	54.3
NE	WR	16	42	27	64.3	200	1	21	4.8	7.4	0	0	0	0	0	0	3.3	53
TEN	WR	16	34	19	55.9	254	1	38	7.5	13.4	0	0	0	0	0	0	3.2	50.4
BAL	WR	14	31	24	77.4	255	0	22	8.2	10.6	0	0	0	0	0	0	3.5	49.5
SF	WR	14	35	14	40	294	1	80	8.4	21	0	0	0	0	0	0	3.5	49.4
PIT	WR	14	26	14	53.8	198	2	29	7.6	14.1	0	0	0	0	0	0	3.4	47.8
LV	WR	14	48	21	43.8	262	0	50	5.5	12.5	2	5	2.5	0	0	0	3.4	47.7
NO	WR	8	23	17	73.9	215	1	24	9.3	12.6	1	4	4	0	1	1	5.4	42.9
SEA	WR	16	15	11	73.3	195	2	48	13	17.7	1	2	2	0	0	0	2.7	42.7
CIN	WR	16	26	17	65.4	193	1	50	7.4	11.4	3	21	7	0	2	1	2.6	42.4
KC	WR	12	28	16	57.1	260	0	48	9.3	16.2	0	0	0	0	0	0	3.5	42
DET	WR	16	31	14	45.2	202	1	52	6.5	14.4	0	0	0	0	1	1	2.4	38.2
MIA	WR	14	22	12	54.5	135	2	23	6.1	11.2	1	3	3	0	1	0	2.7	37.8
CHI	WR	7	32	17	53.1	140	1	17	4.4	8.2	0	0	0	0	0	0	5.3	37
CAR	WR	15	20	13	65	151	1	29	7.6	11.6	0	0	0	0	2	0	2.3	34.1
ARI	WR	16	26	14	53.8	190	0	27	7.3	13.6	3	6	2	0	2	0	2.1	34
LAR	WR	14	20	11	55	159	1	47	8	14.5	1	4	4	0	0	0	2.4	33.3
SF	WR	13	12	6	50	62	2	20	5.2	10.3	6	28	4.7	1	1	0	2.5	33
NYJ	WR	10	23	8	34.8	167	0	51	7.3	20.9	1	20	20	1	0	0	3.3	32.7
