HOU	QB	12	197	312	63.1	2483	8	17	8	95.34	50	184	3.7	2	15	179.72
MIN	QB	13	259	402	64.4	2919	7.3	14	12	85.2	47	209	4.4	1	13.8	179.66
BUF	QB	12	287	447	64.2	3018	6.8	18	10	87.82	15	14	0.9	1	14.7	176.12
JAX	QB	14	280	475	58.9	2907	6.1	11	17	69.51	56	419	7.5	0	12	168.18
CLE	QB	14	243	439	55.4	3335	7.6	12	13	76.64	25	32	1.3	0	11.2	156.6
NYJ	QB	14	219	367	59.7	2525	6.9	13	13	77.53	59	238	4	1	10.8	150.8
PHI	QB	9	198	309	64.1	2418	7.8	14	11	88.36	34	87	2.6	1	15.5	139.42
TB	QB	12	184	327	56.3	2206	6.7	11	14	70.46	25	127	5.1	3	10.6	126.94
PHI	QB	8	187	312	59.9	2163	6.9	13	10	81.45	16	68	4.2	0	14.9	119.32
LAR	QB	10	180	284	63.4	2001	7	12	9	85.14	16	36	2.2	0	10.8	107.64
ARI	QB	6	141	224	62.9	1626	7.3	11	3	95.57	8	25	3.1	0	17.3	103.54
ARI	QB	9	132	240	55	1711	7.1	7	5	78.66	25	63	2.5	0	10.5	94.74
LAR	QB	9	145	229	63.3	1657	7.2	8	7	83.91	10	10	1	1	10	90.28
TB	QB	6	117	203	57.6	1417	7	10	6	83.3	10	49	4.9	0	14.9	89.58
WAS	QB	6	126	204	61.8	1710	8.4	10	9	86.44	7	20	2.9	0	14.7	88.4
WAS	QB	9	147	214	68.7	1694	7.9	4	6	86.86	38	176	4.6	1	9.7	87.36
TEN	QB	7	105	185	56.8	1326	7.2	7	2	87.35	20	90	4.5	0	12.4	87.04
TEN	QB	7	107	179	59.8	1412	7.9	8	7	83.37	5	4	0.8	0	10.1	70.88
TEN	QB	7	86	146	58.9	993	6.8	5	7	70.95	22	142	6.5	1	9.1	63.92
WAS	QB	5	91	128	71.1	1057	8.3	4	3	96.39	16	66	4.1	1	12.6	62.88
BUF	QB	5	76	131	58	838	6.4	5	3	80.26	16	52	3.2	1	11.7	58.72
CAR	QB	7	65	97	67	701	7.2	5	0	105.22	8	24	3	0	7.2	50.44
NYJ	QB	10	64	121	52.9	604	5	3	2	68.34	26	153	5.9	0	4.3	43.46
JAX	QB	3	42	78	53.8	492	6.3	3	1	80.72	4	25	6.2	0	10.1	30.18
MIN	QB	3	41	71	57.7	425	6	3	4	65.76	7	19	2.7	0	7.6	22.9
HOU	QB	2	45	77	58.4	435	5.6	2	2	72.16	10	35	3.5	0	11.4	22.9
ARI	QB	3	45	93	48.4	562	6	2	4	56.83	0	0	0	0	7.5	22.48
DAL	QB	5	24	41	58.5	303	7.4	3	2	85.72	6	-1	-0.2	0	4	20.02
HOU	QB	3	41	75	54.7	400	5.3	2	2	67.64	6	-2	-0.3	0	6.6	19.8
IND	QB	4	30	44	68.2	301	6.8	2	0	102.56	8	-11	-1.4	0	4.2	16.94
CHI	QB	4	26	48	54.2	223	4.6	2	1	71.79	3	9	3	0	4	15.82
MIN	QB	2	22	44	50	222	5	0	2	45.83	4	16	4	1	6.2	12.48
NE	QB	6	19	27	70.4	182	6.7	1	0	101.16	10	9	0.9	0	2	12.18
CLE	QB	5	18	35	51.4	175	5	0	2	41.96	9	29	3.2	1	2.4	11.9
KC	QB	3	16	28	57.1	157	5.6	0	0	73.07	4	15	3.8	0	2.6	7.78
DEN	QB	4	4	10	40	52	5.2	1	0	90.42	8	0	0	0	1.5	6.08
SF	QB	1	3	7	42.9	38	5.4	1	0	100	1	5	5	0	6	6.02
LV	QB	1	12	19	63.2	129	6.8	1	2	60.96	2	3	1.5	0	5.5	5.46
CLE	QB	1	14	28	50	177	6.3	0	1	55.21	7	9	1.3	0	4	3.98
NYG	QB	4	4	5	80	60	12	0	0	116.67	2	-3	-1.5	0	0.5	2.1
NYJ	QB	1	3	8	37.5	39	4.9	0	0	53.65	1	2	2	0	1.8	1.76
CIN	QB	4	11	19	57.9	74	3.9	0	0	66.56	1	1	1	0	0.3	1.06
MIA	QB	2	2	4	50	21	5.2	0	0	65.62	2	-2	-1	0	0.3	0.64
ATL	QB	1	3	4	75	64	16	0	1	77.08	0	0	0	0	0.6	0.56
HOU	QB	2	10	19	52.6	127	6.7	0	1	51.86	6	-6	-1	0	0.2	0.48
LAC	QB	2	1	3	33.3	10	3.3	0	0	43.75	0	0	0	0	0.2	0.4
TEN	QB	1	1	3	33.3	7	2.3	0	0	42.36	1	-1	-1	0	0.2	0.18
SEA	QB	1	1	1	100	0	0	0	0	79.17	0	0	0	0	0	0
NO	QB	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PHI	QB	1	0	1	0	0	0	0	0	39.58	3	0	0	0	0	0
PIT	QB	1	0	0	0	0	0	0	0	0	2	-2	-1	0	-0.2	-0.2
BAL	QB	1	0	0	0	0	0	0	0	0	4	-3	-0.8	0	-0.3	-0.3
GB	QB	7	8	16	50	66	4.1	0	1	34.9	10	-10	-1	0	-0.3	-2.36
LV	QB	11	5	10	50	57	5.7	0	2	27.92	0	0	0	0	-0.3	-3.72
