NYJ	QB	13	239	414	57.7	2865	6.9	17	15	77.62	44	138	3.1	1	13	168.4
TB	QB	8	164	246	66.7	2366	9.6	17	12	100.42	36	152	4.2	2	20.7	165.84
BAL	QB	16	99	170	58.2	1201	7.1	6	3	84.46	147	695	4.7	5	9.8	157.54
MIA	QB	11	176	274	64.2	1979	7.2	17	9	92.7	32	145	4.5	0	13	142.96
WAS	QB	10	205	328	62.5	2180	6.6	10	5	85.67	41	168	4.1	1	13.8	138
BAL	QB	9	232	379	61.2	2465	6.5	12	6	84.15	19	45	2.4	0	15.2	137.1
SF	QB	8	176	274	64.2	2277	8.3	13	10	90.85	18	-16	-0.9	0	15.4	123.48
ARI	QB	14	217	393	55.2	2278	5.8	11	14	66.74	23	138	6	0	8.1	112.92
CIN	QB	9	105	176	59.7	1003	5.7	6	2	82.17	25	130	5.2	2	9.5	85.12
PHI	QB	5	141	195	72.3	1413	7.2	7	4	95.95	9	17	1.9	0	15.3	76.72
SF	QB	6	102	169	60.4	1252	7.4	8	7	81.77	19	69	3.6	1	12.5	74.98
MIA	QB	7	113	178	63.5	1247	7	6	4	86.05	8	21	2.6	0	9.7	67.98
WAS	QB	4	52	91	57.1	590	6.5	3	4	69.39	23	120	5.2	1	12.4	49.6
SF	QB	3	53	89	59.6	718	8.1	5	3	90	8	33	4.1	0	16	48.02
CLE	QB	4	42	85	49.4	473	5.6	2	2	64.49	16	125	7.8	1	10.4	41.42
JAX	QB	5	85	131	64.9	709	5.4	2	2	77.43	19	123	6.5	0	7.7	38.66
NO	QB	16	3	7	42.9	64	9.1	0	1	36.31	37	196	5.3	2	2.1	33.56
TEN	QB	8	61	101	60.4	626	6.2	4	4	74.94	6	0	0	0	4.1	33.04
CHI	QB	5	53	76	69.7	515	6.8	3	2	90.62	13	3	0.2	0	6.1	30.7
WAS	QB	3	34	54	63	372	6.9	3	3	78.63	10	63	6.3	0	9.1	27.18
CAR	QB	2	20	31	64.5	266	8.6	2	0	113.1	5	19	3.8	1	13.3	26.54
NYJ	QB	4	60	110	54.5	539	4.9	1	4	55.83	5	32	6.4	0	5.2	20.76
BUF	QB	1	15	25	60	232	9.3	2	0	117.42	3	-2	-0.7	0	17.1	17.08
CAR	QB	6	35	57	61.4	320	5.6	1	3	60.56	5	31	6.2	0	2.3	13.9
BUF	QB	4	44	81	54.3	296	3.7	1	7	30.68	10	50	5	1	3.2	12.84
ARI	QB	3	50	80	62.5	400	5	2	4	62.5	2	7	3.5	0	4.2	12.7
ARI	QB	2	15	21	71.4	174	8.3	1	0	112	0	0	0	0	5.5	10.96
NO	QB	5	14	23	60.9	118	5.1	1	1	70.56	11	5	0.5	0	1.4	7.22
BUF	QB	2	42	70	60	465	6.6	0	4	55.95	1	-1	-1	0	3.2	6.5
GB	QB	3	20	42	47.6	187	4.5	0	2	40.48	5	39	7.8	0	1.8	5.38
PHI	QB	2	1	2	50	22	11	1	0	129.17	2	-2	-1	0	2.3	4.68
DET	QB	2	7	17	41.2	59	3.5	0	1	26.35	2	13	6.5	0	0.8	1.66
CAR	QB	1	2	3	66.7	40	13.3	0	0	109.72	0	0	0	0	1.6	1.6
KC	QB	1	2	3	66.7	29	9.7	0	0	97.92	1	3	3	0	1.5	1.46
ATL	QB	3	5	7	71.4	20	2.9	0	0	74.11	1	0	0	0	0.4	1.1
BAL	QB	3	2	6	33.3	21	3.5	0	0	44.44	0	0	0	0	0.3	0.84
PIT	QB	5	6	12	50	43	3.6	0	1	23.96	4	11	2.8	0	0.2	0.82
WAS	QB	2	19	35	54.3	138	3.9	0	3	28.04	1	8	8	0	0.2	0.32
LV	QB	2	1	3	33.3	8	2.7	0	0	42.36	3	-2	-0.7	0	0.1	0.12
LAR	QB	3	2	3	66.7	23	7.7	0	0	89.58	7	-9	-1.3	0	0	0.02
DAL	QB	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HOU	QB	1	0	0	0	0	0	0	0	0	1	-1	-1	0	-0.1	-0.1
DEN	QB	1	0	0	0	0	0	0	0	0	1	-1	-1	0	-0.1	-0.1
NE	QB	5	1	2	50	7	3.5	0	0	58.33	11	-8	-0.7	0	-0.1	-0.52
IND	QB	4	2	4	50	2	0.5	0	0	56.25	7	-7	-1	0	-0.2	-0.62
LAC	QB	5	1	4	25	8	2	0	0	39.58	8	2	0.2	0	-0.3	-1.48
NYG	QB	2	0	5	0	0	0	0	1	0	1	-2	-2	0	-1.1	-2.2
